raceId;year;round;circuitId;name;date;time;day;mounth;iddate
319;1991;15;22;Japanese Grand Prix;20/10/91;\N;20;10;638
320;1991;16;29;Australian Grand Prix;03/11/91;\N;3;11;640
321;1990;1;33;United States Grand Prix;11/03/90;\N;11;3;642
322;1990;2;18;Brazilian Grand Prix;25/03/90;\N;25;3;644
323;1990;3;21;San Marino Grand Prix;13/05/90;\N;13;5;646
324;1990;4;6;Monaco Grand Prix;27/05/90;\N;27;5;648
325;1990;5;7;Canadian Grand Prix;10/06/90;\N;10;6;650
326;1990;6;32;Mexican Grand Prix;24/06/90;\N;24;6;652
327;1990;7;34;French Grand Prix;08/07/90;\N;8;7;654
328;1990;8;9;British Grand Prix;15/07/90;\N;15;7;656
329;1990;9;10;German Grand Prix;29/07/90;\N;29;7;658
330;1990;10;11;Hungarian Grand Prix;12/08/90;\N;12;8;660
331;1990;11;13;Belgian Grand Prix;26/08/90;\N;26;8;662
332;1990;12;14;Italian Grand Prix;09/09/90;\N;9;9;664
333;1990;13;27;Portuguese Grand Prix;23/09/90;\N;23;9;666
334;1990;14;26;Spanish Grand Prix;30/09/90;\N;30;9;668
335;1990;15;22;Japanese Grand Prix;21/10/90;\N;21;10;670
336;1990;16;29;Australian Grand Prix;04/11/90;\N;4;11;672
337;2010;1;3;Bahrain Grand Prix;14/03/10;12:00:00;14;3;674
338;2010;2;1;Australian Grand Prix;28/03/10;6:00:00;28;3;676
339;2010;3;2;Malaysian Grand Prix;04/04/10;8:00:00;4;4;678
340;2010;4;17;Chinese Grand Prix;18/04/10;6:00:00;18;4;680
341;2010;5;4;Spanish Grand Prix;09/05/10;12:00:00;9;5;682
342;2010;6;6;Monaco Grand Prix;16/05/10;12:00:00;16;5;684
343;2010;7;5;Turkish Grand Prix;30/05/10;11:00:00;30;5;686
344;2010;8;7;Canadian Grand Prix;13/06/10;16:00:00;13;6;688
345;2010;9;12;European Grand Prix;27/06/10;12:00:00;27;6;690
346;2010;10;9;British Grand Prix;11/07/10;12:00:00;11;7;692
347;2010;11;10;German Grand Prix;25/07/10;12:00:00;25;7;694
348;2010;12;11;Hungarian Grand Prix;01/08/10;12:00:00;1;8;696
349;2010;13;13;Belgian Grand Prix;29/08/10;12:00:00;29;8;698
350;2010;14;14;Italian Grand Prix;12/09/10;12:00:00;12;9;700
351;2010;15;15;Singapore Grand Prix;26/09/10;12:00:00;26;9;702
352;2010;16;22;Japanese Grand Prix;10/10/10;6:00:00;10;10;704
353;2010;17;35;Korean Grand Prix;24/10/10;5:00:00;24;10;706
354;2010;18;18;Brazilian Grand Prix;07/11/10;16:00:00;7;11;708
355;2010;19;24;Abu Dhabi Grand Prix;14/11/10;13:00:00;14;11;710
356;1989;1;36;Brazilian Grand Prix;26/03/89;\N;26;3;712
357;1989;2;21;San Marino Grand Prix;23/04/89;\N;23;4;714
358;1989;3;6;Monaco Grand Prix;07/05/89;\N;7;5;716
359;1989;4;32;Mexican Grand Prix;28/05/89;\N;28;5;718
360;1989;5;33;United States Grand Prix;04/06/89;\N;4;6;720
361;1989;6;7;Canadian Grand Prix;18/06/89;\N;18;6;722
362;1989;7;34;French Grand Prix;09/07/89;\N;9;7;724
363;1989;8;9;British Grand Prix;16/07/89;\N;16;7;726
364;1989;9;10;German Grand Prix;30/07/89;\N;30;7;728
365;1989;10;11;Hungarian Grand Prix;13/08/89;\N;13;8;730
366;1989;11;13;Belgian Grand Prix;27/08/89;\N;27;8;732
367;1989;12;14;Italian Grand Prix;10/09/89;\N;10;9;734
368;1989;13;27;Portuguese Grand Prix;24/09/89;\N;24;9;736
369;1989;14;26;Spanish Grand Prix;01/10/89;\N;1;10;738
370;1989;15;22;Japanese Grand Prix;22/10/89;\N;22;10;740
371;1989;16;29;Australian Grand Prix;05/11/89;\N;5;11;742
372;1988;1;36;Brazilian Grand Prix;03/04/88;\N;3;4;744
373;1988;2;21;San Marino Grand Prix;01/05/88;\N;1;5;746
374;1988;3;6;Monaco Grand Prix;15/05/88;\N;15;5;748
375;1988;4;32;Mexican Grand Prix;29/05/88;\N;29;5;750
376;1988;5;7;Canadian Grand Prix;12/06/88;\N;12;6;752
377;1988;6;37;Detroit Grand Prix;19/06/88;\N;19;6;754
378;1988;7;34;French Grand Prix;03/07/88;\N;3;7;756
379;1988;8;9;British Grand Prix;10/07/88;\N;10;7;758
380;1988;9;10;German Grand Prix;24/07/88;\N;24;7;760
381;1988;10;11;Hungarian Grand Prix;07/08/88;\N;7;8;762
382;1988;11;13;Belgian Grand Prix;28/08/88;\N;28;8;764
383;1988;12;14;Italian Grand Prix;11/09/88;\N;11;9;766
384;1988;13;27;Portuguese Grand Prix;25/09/88;\N;25;9;768
385;1988;14;26;Spanish Grand Prix;02/10/88;\N;2;10;770
386;1988;15;22;Japanese Grand Prix;30/10/88;\N;30;10;772
387;1988;16;29;Australian Grand Prix;13/11/88;\N;13;11;774
388;1987;1;36;Brazilian Grand Prix;12/04/87;\N;12;4;776
389;1987;2;21;San Marino Grand Prix;03/05/87;\N;3;5;778
390;1987;3;13;Belgian Grand Prix;17/05/87;\N;17;5;780
391;1987;4;6;Monaco Grand Prix;31/05/87;\N;31;5;782
392;1987;5;37;Detroit Grand Prix;21/06/87;\N;21;6;784
393;1987;6;34;French Grand Prix;05/07/87;\N;5;7;786
394;1987;7;9;British Grand Prix;12/07/87;\N;12;7;788
